id,name,brand,flavor,nicotine,pack_size,price,e-shop,stock,url,date
kurwa-collection-jablko-15,KURWA COLLECTION APPLE KIWI,KURWA COLLECTION,jablko,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-apple-kiwi/,20/04/2025
pablo-mata-16,PABLO ICE COLD,PABLO,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/pablo/pablo-ice-cold/,20/04/2025
kurwa-collection-mango-15,KURWA COLLECTION MANGO RASPBERRY,KURWA COLLECTION,mango,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-mango-raspberry/,20/04/2025
kurwa-collection-mata-15,KURWA COLLECTION FROST ICE,KURWA COLLECTION,máta,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-frost-ice/,20/04/2025
dark-edition-jahoda-16,77 STRAWBERRY,DARK EDITION,jahoda,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-strawberry/,20/04/2025
pablo-mata-16,PABLO ICE COLD MINI,PABLO,máta,16,,149,nicopods.cz,True,https://www.nicopods.cz/pablo/pablo-ice-cold-mini/,20/04/2025
goat-mata-16,GOAT CRYSTAL ICE STRONG #16,GOAT,máta,16,,129,nicopods.cz,True,https://www.nicopods.cz/goat/goat-crystal-ice-strong--16/,20/04/2025
kurwa-collection-jahoda-15,KURWA COLLECTION STRAWBERRY GUM,KURWA COLLECTION,jahoda,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-strawberry-gum/,20/04/2025
dark-edition-vodni-meloun-16,77 WATERMELON ICE,DARK EDITION,vodní meloun,16,,139,nicopods.cz,True,https://www.nicopods.cz/77-dark-edition/77-watermelon-ice/,20/04/2025
kurwa-collection-cerny-rybiz-15,KURWA COLLECTION BLACK CURRANT PURPLE GRAPE,KURWA COLLECTION,černý rybíz,15,,139,nicopods.cz,True,https://www.nicopods.cz/kurwa-collection/kurwa-collection-black-currant-purple-grape/,20/04/2025
velo-limetka-14,VELO TANGY LIME,VELO,limetka,14,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-tangy-lime/,20/04/2025
velo-vodni-meloun-14,VELO WATERMELON ICE,VELO,vodní meloun,14,,150,nicopods.cz,True,https://www.nicopods.cz/lyft-velo/velo-watermelon-ice/,20/04/2025
