id,name,brand,flavor,nicotine,pack_size,price,e-shop,stock,url,date
nikotinove-sacky-mentol-0,VELO CRISPY PEPPERMINT ZERO  0% nikotinu,Nikotinové sáčky,Mentol,0,,139,,True,https://www.nordiction.cz/nikotinove-sacky/velo-crispy-peppermint-zero/,22/03/2025
dope---nikotinove-sacky-mentol-16,DOPE ICE COOL XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mentol,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-cool-xtra-strong/,22/03/2025
dope---nikotinove-sacky-limetka-16,DOPE LIME SMASH STRONG  16 mg/g,DOPE - Nikotinové sáčky,Limetka,16,,110,,True,https://www.nordiction.cz/dope/dope-lime-smash-strong-edition/,22/03/2025
nikotinove-sacky-maracuja-0,VELO TROPIC BREEZE ZERO  0% nikotinu,Nikotinové sáčky,Maracuja,0,,139,,True,https://www.nordiction.cz/nikotinove-sacky/velo-tropic-breeze-zero/,22/03/2025
velo---nikotinove-sacky-mentol-15,"VELO FREEZING PEPPERMINT (Freeze)  15,6 mg/g",VELO - Nikotinové sáčky,Mentol,15,,150,,True,https://www.nordiction.cz/velo/velo-freezing-peppermint/,22/03/2025
white-fox---nikotinove-sacky-mentol-16,WHITE FOX  16 mg/g,WHITE FOX - Nikotinové sáčky,Mentol,16,,150,,True,https://www.nordiction.cz/white-fox-nikotinove-sacky/white-fox-nicopods/,22/03/2025
dope---nikotinove-sacky-mango-16,DOPE ICE MANGO XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mango,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-mango-xtra-strong/,22/03/2025
dope---nikotinove-sacky-meloun-16,DOPE MELON STRONG EDITION  16 mg/g,DOPE - Nikotinové sáčky,Meloun,16,,110,,True,https://www.nordiction.cz/dope/dope-melon-strong-edition/,22/03/2025
zyn---nikotinove-sacky-mentol-13,"ZYN COOL MINT STRONG  13,5 mg/g",ZYN - Nikotinové sáčky,Mentol,13,,150,,True,https://www.nordiction.cz/zyn/zyn-cool-mint-strong/,22/03/2025
77---nikotinove-sacky-cerny-rybiz-16,77 BLACK CURRANT MEDIUM  16 mg/g,77 - Nikotinové sáčky,Černý rybíz,16,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-blackcurrant-medium/,22/03/2025
77---nikotinove-sacky-boruvka-16,77 BLUEBERRY MEDIUM  16 mg/g,77 - Nikotinové sáčky,Borůvka,16,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-blueberry-medium/,22/03/2025
77---nikotinove-sacky-tresen-16,77 COLA & CHERRY MEDIUM  16 mg/g,77 - Nikotinové sáčky,Třešeň,16,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-cola-cherry-medium/,22/03/2025
77---nikotinove-sacky-cola-16,77 COLA & VANILLA MEDIUM  16 mg/g,77 - Nikotinové sáčky,Cola,16,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-cola-vanilla-medium/,22/03/2025
77---nikotinove-sacky-lesni-plody-8,77 FOREST FRUITS LIGHT  8 mg/g,77 - Nikotinové sáčky,Lesní plody,8,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-forest-fruits-light/,22/03/2025
77---nikotinove-sacky-mentol-8,77 FRESH MINT LIGHT  8 mg/g,77 - Nikotinové sáčky,Mentol,8,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-fresh-mint-light/,22/03/2025
77---nikotinove-sacky-malina-16,77 RASPBERRY MEDIUM  16 mg/g,77 - Nikotinové sáčky,Malina,16,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-raspberry-medium/,22/03/2025
77---nikotinove-sacky-vodni-meloun-16,77 WATERMELON ICE MEDIUM  16 mg/g,77 - Nikotinové sáčky,Vodní meloun,16,,129,,True,https://www.nordiction.cz/77-nikotinove-sacky/77-watermelon-ice-medium/,22/03/2025
bagz---nikotinove-sacky-mata-8,BAGZ ARCTIC FREEZE CLASSIC  8 mg/g,BAGZ - Nikotinové sáčky,Máta,8,,119,,True,https://www.nordiction.cz/bagz-nikotinove-sacky/bagz-arctic-freeze-classic/,22/03/2025
bagz---nikotinove-sacky-lesni-plody-8,BAGZ BERRY COOL CLASSIC  8 mg/g,BAGZ - Nikotinové sáčky,Lesní plody,8,,119,,True,https://www.nordiction.cz/bagz-nikotinove-sacky/bagz-berry-cool-classic/,22/03/2025
